"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filter Location by metro","1102","GetLocationsByMetro","Megaport API Test Suite","Sat Mar 22 12:52:09 GMT 2025","passed","Sat Mar 22 12:52:10 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByMetro"
"Retrieves locations filtered by Vendor","1369","GetLocationsByVendor","Megaport API Test Suite","Sat Mar 22 12:52:24 GMT 2025","passed","Sat Mar 22 12:52:25 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByVendor"
"Filter locations by combination of vendor, status, and metro","1049","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:52:00 GMT 2025","passed","Sat Mar 22 12:52:01 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Filter locations by combination of vendor, status, and metro","1083","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:52:01 GMT 2025","passed","Sat Mar 22 12:52:02 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Filter locations by combination of vendor, status, and metro","1072","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:51:55 GMT 2025","passed","Sat Mar 22 12:51:56 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Filter locations by combination of vendor, status, and metro","1054","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:52:04 GMT 2025","passed","Sat Mar 22 12:52:05 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Filter Location by metro","1078","GetLocationsByMetro","Megaport API Test Suite","Sat Mar 22 12:52:08 GMT 2025","passed","Sat Mar 22 12:52:09 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByMetro"
"Filter locations by combination of vendor, status, and metro","1069","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:52:05 GMT 2025","passed","Sat Mar 22 12:52:06 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Retrieve locations filtered by location status","1091","GetLocationsByStatus","Megaport API Test Suite","Sat Mar 22 12:52:15 GMT 2025","passed","Sat Mar 22 12:52:16 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByStatus"
"Retrieve locations filtered by location status","1380","GetLocationsByStatus","Megaport API Test Suite","Sat Mar 22 12:52:14 GMT 2025","passed","Sat Mar 22 12:52:15 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByStatus"
"Filter locations by combination of vendor, status, and metro","1085","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:51:57 GMT 2025","passed","Sat Mar 22 12:51:58 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Retrieves locations filtered by Vendor","1469","GetLocationsByVendor","Megaport API Test Suite","Sat Mar 22 12:52:22 GMT 2025","passed","Sat Mar 22 12:52:24 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByVendor"
"Retrieves locations filtered by Vendor","1421","GetLocationsByVendor","Megaport API Test Suite","Sat Mar 22 12:52:28 GMT 2025","passed","Sat Mar 22 12:52:29 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByVendor"
"Filter Location by metro","1067","GetLocationsByMetro","Megaport API Test Suite","Sat Mar 22 12:52:13 GMT 2025","passed","Sat Mar 22 12:52:14 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByMetro"
"Retrieve locations filtered by location status","1094","GetLocationsByStatus","Megaport API Test Suite","Sat Mar 22 12:52:19 GMT 2025","passed","Sat Mar 22 12:52:20 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByStatus"
"Filter Location by metro","1080","GetLocationsByMetro","Megaport API Test Suite","Sat Mar 22 12:52:07 GMT 2025","passed","Sat Mar 22 12:52:08 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByMetro"
"Retrieve locations filtered by location status","1878","GetLocationsByStatus","Megaport API Test Suite","Sat Mar 22 12:52:16 GMT 2025","passed","Sat Mar 22 12:52:18 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByStatus"
"Filter locations by combination of vendor, status, and metro","1079","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:51:51 GMT 2025","passed","Sat Mar 22 12:51:52 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Filter locations by combination of vendor, status, and metro","1102","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:51:54 GMT 2025","passed","Sat Mar 22 12:51:55 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Filter Location by metro","1104","GetLocationsByMetro","Megaport API Test Suite","Sat Mar 22 12:52:10 GMT 2025","passed","Sat Mar 22 12:52:11 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByMetro"
"Filter Location by metro","1056","GetLocationsByMetro","Megaport API Test Suite","Sat Mar 22 12:52:06 GMT 2025","passed","Sat Mar 22 12:52:07 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByMetro"
"Retrieve locations filtered by location status","1078","GetLocationsByStatus","Megaport API Test Suite","Sat Mar 22 12:52:20 GMT 2025","passed","Sat Mar 22 12:52:21 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByStatus"
